,Model,Accuracy,Accuracy 0,Accuracy 1,Precision,Recall,ROC area
0,Logistic Regression,0.7538461538461538,0.7272727272727273,0.7592592592592593,0.7592592592592593,0.9318181818181818,0.8928571428571429
1,Random Forest,0.8,0.7222222222222222,0.8297872340425532,0.8297872340425532,0.8863636363636364,0.9009740259740259
2,KNN,0.7538461538461538,0.7272727272727273,0.7592592592592593,0.7592592592592593,0.9318181818181818,0.7987012987012987
3,SVM,0.7538461538461538,0.7272727272727273,0.7592592592592593,0.7592592592592593,0.9318181818181818,0.8300865800865801
